[CUDA Bandwidth Test] - Starting...
Running on...

 Device 0: Quadro K420
 Shmoo Mode

.................................................................................
 Host to Device Bandwidth, 1 Device(s)
 PINNED Memory Transfers
   Transfer Size (Bytes)	Bandwidth(MB/s)
   1024				559.8
   2048				755.7
   3072				1130.3
   4096				1529.8
   5120				1923.6
   6144				2261.8
   7168				2508.9
   8192				2700.7
   9216				2895.3
   10240			3009.1
   11264			3135.5
   12288			3343.7
   13312			3461.6
   14336			3598.7
   15360			3776.3
   16384			3876.9
   17408			3958.3
   18432			4071.4
   19456			4048.2
   20480			4174.5
   22528			4195.1
   24576			4402.7
   26624			4483.3
   28672			4587.2
   30720			4642.2
   32768			4718.1
   34816			4799.0
   36864			4829.2
   38912			4836.1
   40960			4944.2
   43008			4986.1
   45056			5054.2
   47104			5056.1
   49152			5108.6
   51200			5113.4
   61440			5255.2
   71680			5355.9
   81920			5452.1
   92160			5506.0
   102400			5552.7
   204800			5782.2
   307200			5862.0
   409600			5909.9
   512000			5934.0
   614400			5943.4
   716800			5958.2
   819200			5967.7
   921600			5973.5
   1024000			5950.0
   1126400			5961.6
   2174976			5944.3
   3223552			5970.4
   4272128			5985.0
   5320704			5994.5
   6369280			6000.5
   7417856			6003.1
   8466432			6011.5
   9515008			6015.3
   10563584			6015.3
   11612160			6020.1
   12660736			6020.4
   13709312			6021.4
   14757888			6022.7
   15806464			6022.5
   16855040			6022.8
   18952192			6024.9
   21049344			6025.9
   23146496			6025.7
   25243648			5463.4
   27340800			5454.2
   29437952			5459.9
   31535104			5458.6
   33632256			5456.1
   37826560			5465.0
   42020864			5463.0
   46215168			5460.1
   50409472			5465.3
   54603776			5467.7
   58798080			5461.6
   62992384			5461.1
   67186688			5467.8

.................................................................................
 Device to Host Bandwidth, 1 Device(s)
 PINNED Memory Transfers
   Transfer Size (Bytes)	Bandwidth(MB/s)
   1024				446.4
   2048				957.4
   3072				1378.1
   4096				1834.7
   5120				2300.8
   6144				2772.8
   7168				3009.8
   8192				3042.8
   9216				3659.3
   10240			3557.2
   11264			3742.9
   12288			3606.8
   13312			3970.8
   14336			3897.9
   15360			4196.1
   16384			4113.5
   17408			4385.8
   18432			4214.7
   19456			4486.9
   20480			4445.6
   22528			4428.6
   24576			4705.1
   26624			4546.2
   28672			4985.2
   30720			4694.8
   32768			5084.1
   34816			4942.1
   36864			4963.2
   38912			5048.0
   40960			5155.5
   43008			5104.2
   45056			5204.0
   47104			5179.8
   49152			5280.0
   51200			5250.5
   61440			5279.0
   71680			5438.2
   81920			5497.8
   92160			5479.6
   102400			5505.2
   204800			5726.1
   307200			5754.3
   409600			5627.6
   512000			5690.4
   614400			5726.9
   716800			5734.1
   819200			5771.9
   921600			5774.4
   1024000			5809.0
   1126400			5858.4
   2174976			5844.9
   3223552			5872.1
   4272128			5876.3
   5320704			5886.4
   6369280			5898.8
   7417856			5888.2
   8466432			5897.8
   9515008			5898.6
   10563584			5899.4
   11612160			5891.1
   12660736			5894.4
   13709312			5905.1
   14757888			5907.1
   15806464			5901.0
   16855040			5901.5
   18952192			5915.3
   21049344			6089.1
   23146496			6547.3
   25243648			6548.4
   27340800			6549.6
   29437952			6549.4
   31535104			6550.5
   33632256			6550.2
   37826560			6550.4
   42020864			5916.0
   46215168			5912.3
   50409472			5910.8
   54603776			5913.0
   58798080			5918.6
   62992384			5914.2
   67186688			5916.2

.................................................................................
 Device to Device Bandwidth, 1 Device(s)
 PINNED Memory Transfers
   Transfer Size (Bytes)	Bandwidth(MB/s)
   1024				530.2
   2048				986.1
   3072				1399.8
   4096				1820.6
   5120				2515.5
   6144				3152.9
   7168				3902.8
   8192				4719.7
   9216				4390.8
   10240			5382.8
   11264			5221.8
   12288			5877.7
   13312			6463.3
   14336			7055.3
   15360			6928.0
   16384			6904.6
   17408			7117.5
   18432			7506.5
   19456			7719.6
   20480			8067.6
   22528			8589.5
   24576			9241.0
   26624			9454.3
   28672			10647.4
   30720			10268.9
   32768			10846.6
   34816			10389.7
   36864			11763.5
   38912			11343.6
   40960			12028.5
   43008			12270.4
   45056			12433.9
   47104			11919.1
   49152			13523.3
   51200			13218.6
   61440			14465.9
   71680			11344.8
   81920			12421.1
   92160			12641.6
   102400			13385.6
   204800			12173.3
   307200			13335.9
   409600			14107.4
   512000			14599.3
   614400			14738.1
   716800			14941.7
   819200			15057.7
   921600			15195.0
   1024000			15146.3
   1126400			19993.7
   2174976			20685.5
   3223552			20815.0
   4272128			21026.7
   5320704			20963.7
   6369280			21078.5
   7417856			21125.7
   8466432			21070.5
   9515008			21182.4
   10563584			21211.5
   11612160			21217.2
   12660736			21198.6
   13709312			21190.7
   14757888			21208.4
   15806464			21184.5
   16855040			21245.4
   18952192			21251.7
   21049344			21214.9
   23146496			21202.7
   25243648			21243.9
   27340800			21269.4
   29437952			21264.3
   31535104			21270.6
   33632256			21277.5
   37826560			21245.4
   42020864			21306.4
   46215168			21283.8
   50409472			21308.0
   54603776			21273.3
   58798080			21285.3
   62992384			21317.2
   67186688			21255.0

Result = PASS

NOTE: The CUDA Samples are not meant for performance measurements. Results may vary when GPU Boost is enabled.
